scenario,region,sector,subsector,GHG,Units,date,value,Year,file
T_01_BAU,Africa_Eastern,Beef,Mixed,CH4_AGR,Tg,2021-4-5T14:52:05-07:00,0.60398704,1990,Final
T_01_BAU,Africa_Eastern,Beef,Mixed,N2O_AGR,Tg,2021-4-5T14:52:05-07:00,0.006071758,1990,Final
T_01_BAU,Africa_Eastern,Beef,Mixed,NH3_AGR,Tg,2021-4-5T14:52:05-07:00,0.070050809,1990,Final
T_01_BAU,Africa_Eastern,Beef,Mixed,NMVOC_AGR,Tg,2021-4-5T14:52:05-07:00,0.003550239,1990,Final
T_01_BAU,Africa_Eastern,Beef,Mixed,NOx_AGR,Tg,2021-4-5T14:52:05-07:00,0.007681171,1990,Final
T_01_BAU,Africa_Eastern,Beef,Pastoral,CH4_AGR,Tg,2021-4-5T14:52:05-07:00,1.1216844,1990,Final
T_01_BAU,Africa_Eastern,Beef,Pastoral,N2O_AGR,Tg,2021-4-5T14:52:05-07:00,0.011276106,1990,Final
T_01_BAU,Africa_Eastern,Beef,Pastoral,NH3_AGR,Tg,2021-4-5T14:52:05-07:00,0.13009471,1990,Final
T_01_BAU,Africa_Eastern,Beef,Pastoral,NMVOC_AGR,Tg,2021-4-5T14:52:05-07:00,0.006593295,1990,Final
T_01_BAU,Africa_Eastern,Beef,Pastoral,NOx_AGR,Tg,2021-4-5T14:52:05-07:00,0.014265052,1990,Final
T_01_BAU,Africa_Eastern,Corn,Corn_AfrCstE,BC_AWB,Tg,2021-4-5T14:52:05-07:00,0.000156623,1990,Final
T_01_BAU,Africa_Eastern,Corn,Corn_AfrCstE,CH4_AWB,Tg,2021-4-5T14:52:05-07:00,0,1990,Final
T_01_BAU,Africa_Eastern,Corn,Corn_AfrCstE,CO_AWB,Tg,2021-4-5T14:52:05-07:00,0.021300701,1990,Final
T_01_BAU,Africa_Eastern,Corn,Corn_AfrCstE,H2_AWB,Tg,2021-4-5T14:52:05-07:00,0.00044215,1990,Final
T_01_BAU,Africa_Eastern,Corn,Corn_AfrCstE,N2O_AGR,Tg,2021-4-5T14:52:05-07:00,0.001245239,1990,Final
T_01_BAU,Africa_Eastern,Corn,Corn_AfrCstE,N2O_AWB,Tg,2021-4-5T14:52:05-07:00,0,1990,Final
T_01_BAU,Africa_Eastern,Corn,Corn_AfrCstE,NH3_AGR,Tg,2021-4-5T14:52:05-07:00,0.001328607,1990,Final
T_01_BAU,Africa_Eastern,Corn,Corn_AfrCstE,NH3_AWB,Tg,2021-4-5T14:52:05-07:00,0.000453162,1990,Final
